Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Slime Season 3","Young Thug","Slime Season 3","Favorite Albums","Album","075679911384","2z4c8M8aVzl7CTobIp36KF"
"AT.LONG.LAST.A$AP","A$AP Rocky","AT.LONG.LAST.A$AP","Favorite Albums","Album","886445246599","3arNdjotCvtiiLFfjKngMc"
"Don't Be Dumb","A$AP Rocky","Don't Be Dumb","Favorite Albums","Album","196874042922","0atfWEzoZMgo9zCwFd5nEN"
"Finally Rich","Chief Keef","Finally Rich","Favorite Albums","Album","00602537240395","2B4y3j02ho6XNF8BEzx3JF"
"Wish You Were Here (Remastered Version)","Pink Floyd","Wish You Were Here (Remastered Version)","Favorite Albums","Album","5099968084257","6uvBKDGlJAYLH5Vy6RQVsc"
"The Dark Side of the Moon","Pink Floyd","The Dark Side of the Moon","Favorite Albums","Album","886445613261","4LH4d3cOWNNsVw41Gqt2kv"
"Discovery","Daft Punk","Discovery","Favorite Albums","Album","0724384960650","2noRn2Aes5aoNVsU6iWThc"
"Monster","Future","Monster","Favorite Albums","Album","886448089834","6Q3VZtyPCZFMO4cPF4828q"
"56 Nights","Future","56 Nights","Favorite Albums","Album","886448381211","4Mqt4zRLIwFtZyzh7tAUQE"
"UTOPIA","Travis Scott","UTOPIA","Favorite Albums","Album","196871341882","18NOKLkZETa4sWwLMIm0UZ"
"DAMN.","Kendrick Lamar","DAMN.","Favorite Albums","Album","00602557631722","4eLPsYPBmXABThSJ821sqY"
"Tha Carter","Lil Wayne","Tha Carter","Favorite Albums","Album","00602478238802","3G63CfLqzWvBfZboycpyx5"
"HEROES & VILLAINS","Metro Boomin","HEROES & VILLAINS","Favorite Albums","Album","00602455047458","7txGsnDSqVMoRl6RQ9XyZP"
"Alfredo","Freddie Gibbs","Alfredo","Favorite Albums","Album","194690217357","3znl1qe13kyjQv7KcR685N"
"2001","Dr. Dre","2001","Favorite Albums","Album","00602517641266","7q2B4M5EiBkqrlsNW8lB7N"
"Random Access Memories","Daft Punk","Random Access Memories","Favorite Albums","Album","886443927087","4m2880jivSbbyEGAKfITCa"
"Tha Carter II","Lil Wayne","Tha Carter II","Favorite Albums","Album","00602478238864","5qyUw6x9fjZPoQHUwuDu39"
"JEFFERY","Young Thug","JEFFERY","Favorite Albums","Album","075679905420","7EpUpNUkkEGnaCvkcn1j4H"
"Legend - The Best Of Bob Marley And The Wailers","Bob Marley & The Wailers","Legend - The Best Of Bob Marley And The Wailers","Favorite Albums","Album","00602567750055","4jKeipwuUTjlx9USNYdhZn"
"LIVE.LOVE.A$AP","A$AP Rocky","LIVE.LOVE.A$AP","Favorite Albums","Album","886449666980","4l6EPpP9hjQrLb8qNB9eC5"
"Die Lit","Playboi Carti","Die Lit","Favorite Albums","Album","00602557280982","7dAm8ShwJLFm9SaJ6Yc58O"
"DS2 (Deluxe)","Future","DS2 (Deluxe)","Favorite Albums","Album","886445398274","0fUy6IdLHDpGNwavIlhEsl"
"Huncho Jack, Jack Huncho","Huncho Jack","Huncho Jack, Jack Huncho","Favorite Albums","Album","00602567368519","6FED8aeieEnUWwQqAO9zT1"
"DAYS BEFORE RODEO","Travis Scott","DAYS BEFORE RODEO","Favorite Albums","Album","196871381420","54Y471E7GNBSOXjZtqONId"
"Squidtastic","SahBabii","Squidtastic","Favorite Albums","Album","808391043053","0YksPVYor2eHo7ILCTAxJs"
"Whole Lotta Red","Playboi Carti","Whole Lotta Red","Favorite Albums","Album","00602435693071","2QRedhP5RmKJiJ1i8VgDGR"
"Are You Experienced","Jimi Hendrix","Are You Experienced","Favorite Albums","Album","884977413885","7rSZXXHHvIhF4yUFdaOCy9"
"Get Rich Or Die Tryin'","50 Cent","Get Rich Or Die Tryin'","Favorite Albums","Album","00602498614747","5G5rgQHzdQnw32SI0WjIo5"
"Bad (Remastered)","Michael Jackson","Bad (Remastered)","Favorite Albums","Album","886443546264","3Us57CjssWnHjTUIXBuIeH"
"Thriller","Michael Jackson","Thriller","Favorite Albums","Album","074643811224","2ANVost0y2y52ema1E9xAZ"
"Off the Wall","Michael Jackson","Off the Wall","Favorite Albums","Album","074643574525","2ZytN2cY4Zjrr9ukb2rqTP"
"DAYTONA","Pusha T","DAYTONA","Favorite Albums","Album","00602547821140","07bIdDDe3I3hhWpxU6tuBp"
"Southernplayalisticadillacmuzik","Outkast","Southernplayalisticadillacmuzik","Favorite Albums","Album","730082601023","3l5AwLKqQ42VJbc5lTuP8G"
"Rodeo","Travis Scott","Rodeo","Favorite Albums","Album","886445454987","4PWBTB6NYSKQwfo79I3prg"
"Culture","Migos","Culture","Favorite Albums","Album","00602445730377","4JTOxuvM2jcSqAvEZtZsOO"
"Without Warning","21 Savage","Without Warning","Favorite Albums","Album","886446838526","0MV1yCXcNNQBfwApqAVkH0"
"Playboi Carti","Playboi Carti","Playboi Carti","Favorite Albums","Album","00602557292848","4rJgzzfFHAVFhCSt2P4I3j"
"Cozy Tapes: Vol. 1 Friends -","A$AP Mob","Cozy Tapes: Vol. 1 Friends -","Favorite Albums","Album","886446167886","3RaACfwYTY9uiDy3VSWLLc"
"Tha Carter III","Lil Wayne","Tha Carter III","Favorite Albums","Album","00602517834866","5BGzOpea6At0Nd7tYtYZOP"
"Lean on Me: The Best of Bill Withers","Bill Withers","Lean on Me: The Best of Bill Withers","Favorite Albums","Album","884977735840","0XmgSYx9bj4sqpcXVgKs2C"
"Electric Ladyland","Jimi Hendrix","Electric Ladyland","Favorite Albums","Album","884977412802","5z090LQztiqh13wYspQvKQ"
"808s & Heartbreak","Kanye West","808s & Heartbreak","Favorite Albums","Album","00602557134230","3WFTGIO6E3Xh4paEOBY9OU"
"Appetite For Destruction","Guns N' Roses","Appetite For Destruction","Favorite Albums","Album","00602567673743","28yHV3Gdg30AiB8h8em1eW"
"Trap House 3","Gucci Mane","Trap House 3","Favorite Albums","Album","0853175006113","4iTLFFT8jaDsQcLnS08vvL"
"Luv Is Rage 2 (Deluxe)","Lil Uzi Vert","Luv Is Rage 2 (Deluxe)","Favorite Albums","Album","075679884770","0zicd2mBV8HTzSubByj4vP"
"Illmatic","Nas","Illmatic","Favorite Albums","Album","886444072496","3kEtdS2pH6hKcMU9Wioob1"
"The Documentary","The Game","The Documentary","Favorite Albums","Album","00602498641439","4PrPbmm0gKvaD3rerOXFg8"
"So Much Fun (Deluxe)","Young Thug","So Much Fun (Deluxe)","Favorite Albums","Album","075679829153","24jAbLMFzCTlIv3kQ94HwK"
"TESTING","A$AP Rocky","TESTING","Favorite Albums","Album","886447076446","3MATDdrpHmQCmuOcozZjDa"
"(What's The Story) Morning Glory?","Oasis","(What's The Story) Morning Glory?","Favorite Albums","Album","5051961007107","2u30gztZTylY4RG7IvfXs8"
